Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,4.831137862071145,3.652752387495184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76851.0,1,23801.0,1,39651.0,1,54701.0,1,76851.0,1
PSO,F1,Run2,97.87879019009199,97.87867417775642,97.87867417775642,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run1,1993.6792520602705,1877.3438302339728,1822.3278034078608,1781.9822033875619,1768.6463164863226,1766.5425745704845,1760.9813327383922,1756.5576332352655,1749.9510245319725,1742.1834078021159,1736.3516277393571,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,1333.971883088717,759.1073158320601,663.1939359557299,641.9249689600679,621.7616592941852,603.7228187179262,586.154298662526,570.7917272498383,543.3351557596046,521.6964769200879,500.2116306701002,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run1,374.58203232788196,291.6402615873764,291.64000635263005,291.64000635263005,291.64000635263005,291.64000635263005,291.64000635263005,291.64000635263005,291.64000635263005,291.64000635263005,291.64000635263005,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run2,356.2973597012283,320.9237740460059,320.9237691541427,320.9237691541427,320.9237691541427,320.9237691541427,320.9237691541427,320.9237691541427,320.9237691541427,320.9237691541427,320.9237691541427,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run1,18268.844851838232,17906.424212729,17903.974628621952,17903.845392407817,17903.818945573414,17862.535636910146,17799.376704118058,17797.792861730133,17797.609710194756,17797.580507000006,17797.573473706518,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run2,7603.24721809536,6517.47280691607,6492.7492598527915,6489.071405697063,6488.145177097975,6487.6665475604295,6487.279514232609,6487.086674837726,6486.943976564839,6486.80127047661,6486.744913228477,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run1,24.268019340371694,23.619665964418942,23.258375930732498,23.256624443892562,23.256576312022432,23.255849888780446,23.255849888780446,23.255849888780446,23.255849888780446,23.255849888780446,23.255849888780446,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run2,23.17046242644234,21.836036690667328,21.824413806292668,21.823282269554127,21.823282269554127,21.823282269554127,21.823282269554127,21.823282269554127,21.823282269554127,21.823282269554127,21.823282269554127,nan,0,nan,0,nan,0,nan,0,nan,0
