Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,0.8276798478590308,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,2.837339252437232e-08,nan,0,13951.0,1,24121.0,1,33541.0,1,nan,0
PSO,F1,Run2,2.7503094721922565,3.1455391535928356e-07,3.142546205481267e-07,3.142546205481267e-07,3.142546205481267e-07,3.142546205481267e-07,3.142546205481267e-07,3.142546205481267e-07,3.142546205481267e-07,3.142546205481267e-07,3.142546205481267e-07,nan,0,17611.0,1,28681.0,1,38581.0,1,nan,0
PSO,F1,Run3,9.084089788606903,9.077499645964465,9.077499645964465,9.077499645964465,9.077499645964465,9.077499645964465,9.077499645964465,9.077499645964465,9.077499645964465,9.077499645964465,9.077499645964465,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run4,4.6266669844901,3.910559783548706e-06,2.749192162809777e-08,2.749192162809777e-08,2.749192162809777e-08,2.749192162809777e-08,2.749192162809777e-08,2.749192162809777e-08,2.749192162809777e-08,2.749192162809777e-08,2.749192162809777e-08,nan,0,27091.0,1,37141.0,1,47161.0,1,nan,0
PSO,F7,Run1,886.0713191642155,814.368253001745,814.3663248706833,814.3663248706833,814.3663248706833,814.3663248706833,814.3663248706833,814.3663248706833,814.3663248706833,813.4701983477352,813.4616170271489,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,601.6623593124448,522.777874084457,478.63215350503305,478.5799014658917,478.5799014658917,478.5799014658917,478.5799014658917,478.5799014658917,478.5799014658917,478.5799014658917,478.5799014658917,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run3,924.6071952222444,585.3595742869861,517.9023769328056,514.6988855384946,465.14531007687674,459.45035252990294,448.2981591058881,436.2181282304732,435.8944372691205,435.8944372691205,435.8944372691205,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run4,714.2604532464777,632.4322287870536,627.175172534663,627.1750813437015,627.1750813437015,627.1750813437015,627.1750813437015,619.0896123060934,618.629062815551,618.629062815551,618.629062815551,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run1,421.1984674784777,421.189013271401,421.18901327140094,421.18901327140094,421.18901327140094,421.18901327140094,421.18901327140094,421.18901327140094,421.18901327140094,421.18901327140094,421.18901327140094,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run2,414.64524225411174,406.4960250618258,406.4960250618256,406.4960250618256,406.4960250618256,406.4960250618256,406.4960250618256,406.4960250618256,406.4960250618256,406.4960250618256,406.4960250618256,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run3,365.2299708222888,346.49813737634713,346.49813737471516,346.49813737471516,346.4981373747151,346.4981373747151,346.4981373747151,346.49813737471504,346.49813737471504,346.49813737471504,346.4981373747148,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run4,384.2192419309394,371.8277479092843,371.82774790677087,371.8277479067708,371.8277479067708,371.8277479067708,371.8277479067708,371.8277479067708,371.8277479067708,371.8277479067708,371.8277479067708,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run1,21391.17494736273,20363.18872794026,20363.102384763606,20363.090203850115,20363.076716231804,20363.07613654414,20363.07613135446,20363.07613135446,20363.07613135446,20363.07613135446,20363.07613135446,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run2,8014.196580859228,7121.150914966743,7119.075611173552,7119.073604076388,7119.018685455803,7118.959192184865,7118.95143148778,7118.95121142657,7118.95121142657,7118.95121142657,7118.95121142657,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run3,40203.52890553477,25175.04699767467,25166.862296153235,25164.508854534302,25159.476905110005,25157.81899294031,25157.73847197321,25157.738471973207,25157.738471973207,25157.738471973207,25157.738471973207,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run4,19305.616930694814,19030.337331716473,19027.30394248958,19026.52064943116,19026.47013482877,19026.470134828764,19026.470134828764,19026.470134828764,19026.470134828764,19026.470134828764,19026.143389397188,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run1,25.010618378462325,24.479534447224765,23.76212681535131,22.309452069884145,22.23900648301266,22.231148757531557,22.099766224616246,22.09949046563152,22.079579290328,22.069366552945382,22.06574109769157,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run2,24.738429868391904,23.131035719078127,22.779535109219765,22.764235573418688,22.763121824344964,22.762116592240446,22.761345447222737,22.76115853034932,22.761048194437606,22.761048194437606,22.761048194437606,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run3,24.16745258556719,23.368767138800152,23.262949050781188,23.042905770118622,23.03428473568954,23.0276262752799,23.012839870564576,23.00624168424511,23.006229906175577,21.892050052201924,21.885664038427066,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run4,22.640022890735978,21.355917280358867,21.35562951930332,21.35562951930332,21.35532420267485,21.354910249637427,21.354170191330283,21.354170191330283,21.353678025070565,21.353048564470697,21.353048564470697,nan,0,nan,0,nan,0,nan,0,nan,0
