Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,4.831137862071145,3.652752387495184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76851.0,1,23801.0,1,39651.0,1,54701.0,1,76851.0,1
PSO,F1,Run2,97.87879019009199,97.87867417775642,97.87867417775642,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,97.87867417775641,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run3,40.8508122759136,40.839731629256455,40.839731629256455,40.839731629256455,40.839731629256455,40.839731629256455,40.839731629256455,40.839731629256455,40.839731629256455,40.839731629256455,40.839731629256455,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run4,28.36669059307107,27.868818244069956,27.868818244069956,27.868818244069956,27.868818244069956,27.868818244069956,27.868818244069956,27.868818244069956,27.868818244069956,27.868818244069956,27.868818244069956,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run5,68.29250553674098,68.2920725177839,68.29207251778386,68.29207251778386,68.29207251778386,68.29207251778386,68.29207251778386,68.29207251778386,68.29207251778386,68.29207251778386,68.29207251778386,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run1,1993.6792520602705,1877.3438302339728,1822.3278034078608,1781.9822033875619,1768.6463164863226,1766.5425745704845,1760.9813327383922,1756.5576332352655,1749.9510245319725,1742.1834078021159,1736.3516277393571,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,1333.971883088717,759.1073158320601,663.1939359557299,641.9249689600679,621.7616592941852,603.7228187179262,586.154298662526,570.7917272498383,543.3351557596046,521.6964769200879,500.2116306701002,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run3,2295.252089227909,1909.2877821950963,1895.8805014346103,1894.2419041786843,1893.6613681057602,1892.8610185941811,1892.2349797735922,1891.4792384825253,1891.1295855092476,1890.6435224127604,1890.3067795353547,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run4,1644.9079356780646,1470.7142287002553,1459.307414954332,1453.7087358952194,1448.5809512470096,1443.8024434594788,1438.232744227526,1433.6478446662327,1429.0943258604643,1424.7155263662025,1420.6409447304698,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run5,1583.5879157143188,870.6010306966008,763.3180654656948,690.3955484477025,655.6863157733774,629.8328210073224,610.931767819686,592.4573824935769,576.8447102468106,564.0651431150546,553.9793294067308,nan,0,nan,0,nan,0,nan,0,nan,0
