Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,9.462673488282064,0.0003264755958269916,1.4245060242501495e-08,1.4245060242501495e-08,1.4245060242501495e-08,1.4245060242501495e-08,1.4245060242501495e-08,1.4245060242501495e-08,1.4245060242501495e-08,1.4245060242501495e-08,1.4245060242501495e-08,nan,0,26901.0,1,46701.0,1,66051.0,1,nan,0
PSO,F1,Run2,59.02755212478851,58.958399858756245,58.958399858756245,58.958399858756245,58.958399858756245,58.958399858756245,58.958399858756245,58.958399858756245,58.958399858756245,58.958399858756245,58.958399858756245,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run3,84.0389551630913,84.03476204144464,84.03476204144464,84.03476204144464,84.03476204144464,84.03476204144464,84.03476204144464,84.03476204144464,84.03476204144464,84.03476204144464,84.03476204144464,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run4,85.45506762011861,85.44986416780715,85.44986416780715,85.44986416780715,85.44986416780715,85.44986416780715,85.44986416780715,85.44986416780715,85.44986416780715,85.44986416780715,85.44986416780715,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run5,73.41092967512883,73.40039897368753,73.40039897368753,73.40039897368753,73.40039897368753,73.40039897368753,73.40039897368753,73.40039897368753,73.40039897368753,73.40039897368753,73.40039897368753,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run6,65.24946837943925,65.22886905295456,65.22886905295456,65.22886905295456,65.22886905295456,65.22886905295456,65.22886905295456,65.22886905295456,65.22886905295456,65.22886905295456,65.22886905295455,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run7,76.40551224304063,76.3972128594542,76.39721285945417,76.39721285945417,76.39721285945417,76.39721285945417,76.39721285945416,76.39721285945416,76.39721285945416,76.39721285945416,76.39721285945416,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run8,78.18579516537763,78.16982652429371,78.16982652429371,78.16982652429371,78.16982652429371,78.16982652429371,78.16982652429371,78.16982652429371,78.16982652429371,78.16982652429371,78.16982652429371,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run9,80.85358186460432,80.85078698033828,80.85078698033828,80.85078698033828,80.85078698033828,80.85078698033828,80.85078698033827,80.85078698033827,80.85078698033827,80.85078698033827,80.85078698033827,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run10,5.048793924464519,0.0008027817152793659,1.0725102583819535e-08,1.0725102583819535e-08,1.0725102583819535e-08,1.0725102583819535e-08,1.0725102583819535e-08,1.0725102583819535e-08,1.0725102583819535e-08,1.0725102583819535e-08,1.0725102583819535e-08,nan,0,26601.0,1,48501.0,1,67551.0,1,nan,0
PSO,F1,Run11,13.312106699993052,0.0006004231298391005,2.3570208895762335e-08,2.3570208895762335e-08,2.3570208895762335e-08,2.3570208895762335e-08,2.3570208895762335e-08,2.3570208895762335e-08,2.3570208895762335e-08,2.3570208895762335e-08,2.3570208895762335e-08,nan,0,28651.0,1,47551.0,1,69751.0,1,nan,0
PSO,F1,Run12,57.1885919233649,57.16926514253252,57.16926514253251,57.16926514253251,57.16926514253251,57.16926514253251,57.16926514253251,57.16926514253251,57.16926514253251,57.16926514253251,57.16926514253251,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run13,62.82486947666587,62.81842266315507,62.81842266315507,62.81842266315507,62.81842266315507,62.81842266315507,62.81842266315507,62.81842266315507,62.81842266315507,62.81842266315507,62.81842266315507,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run14,87.13398485985483,87.12328415189036,87.12328415189036,87.12328415189036,87.12328415189036,87.12328415189036,87.12328415189036,87.12328415189036,87.12328415189036,87.12328415189036,87.12328415189036,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run15,10.904123295571594,0.001338017194612462,2.520660302707256e-08,2.4366698880839976e-08,2.4366698880839976e-08,2.4366698880839976e-08,2.4366698880839976e-08,2.4366698880839976e-08,2.4366698880839976e-08,2.4366698880839976e-08,2.4366698880839976e-08,nan,0,31901.0,1,51851.0,1,72901.0,1,nan,0
PSO,F1,Run16,74.98443231465649,74.98270914723815,74.98270914723815,74.98270914723815,74.98270914723815,74.98270914723815,74.98270914723815,74.98270914723814,74.98270914723814,74.98270914723814,74.98270914723814,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run17,56.75885402440597,56.714193747470894,56.714193747469196,56.714193747469196,56.714193747469196,56.714193747469196,56.714193747469196,56.714193747469196,56.714193747469196,56.714193747469196,56.714193747469196,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run18,8.599576697527596,0.002211953560646407,5.329539476406353e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104851.0,1,32901.0,1,52851.0,1,75501.0,1,104851.0,1
PSO,F1,Run19,46.37089673290519,46.3121402841858,46.31214028418577,46.31214028418577,46.31214028418577,46.31214028418577,46.31214028418577,46.31214028418577,46.31214028418577,46.31214028418577,46.31214028418577,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run20,59.25784635417116,58.430032045116015,58.43003204511601,58.43003204511601,58.43003204511601,58.43003204511601,58.43003204511601,58.43003204511601,58.43003204511601,58.43003204511601,58.43003204511601,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run21,44.62219401975034,44.53360457859359,44.53360457859358,44.53360457859358,44.53360457859358,44.53360457859358,44.53360457859358,44.53360457859358,44.53360457859358,44.53360457859358,44.53360457859358,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run22,66.0260569496815,66.02274908041262,66.02274908041262,66.02274908041262,66.02274908041262,66.02274908041262,66.02274908041262,66.02274908041262,66.02274908041262,66.02274908041262,66.02274908041262,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run23,59.54157873052968,59.52326353838274,59.52326353838274,59.52326353838274,59.52326353838274,59.52326353838274,59.52326353838274,59.52326353838274,59.52326353838274,59.52326353838274,59.52326353838274,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run24,65.08195780859862,65.06248819699792,65.06248819699792,65.06248819699792,65.06248819699792,65.06248819699792,65.06248819699792,65.06248819699792,65.06248819699792,65.06248819699792,65.06248819699792,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run25,73.39719289714668,73.38986286406335,73.38986286406335,73.38986286406335,73.38986286406335,73.38986286406335,73.38986286406335,73.38986286406335,73.38986286406335,73.38986286406335,73.38986286406335,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run1,2524.7257322991527,2074.4329207303713,2073.1142044696344,2072.1176117158975,2071.236194839188,2070.6126990850044,2070.100587000375,2069.5306616659323,2068.8856531739675,2068.274770620941,2067.836994927745,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,3095.4591384500086,2658.842961153442,2632.8366543648835,2630.2034634250126,2628.632716598018,2627.716185678676,2627.3796142575998,2627.1211291211953,2626.93445697276,2626.8234022652778,2626.6861841375467,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run3,2830.003983776082,1935.558330126481,1923.341656655803,1922.9359643516013,1922.798714412217,1922.6809790479763,1922.566126319163,1922.4681965908878,1922.3771053703829,1922.306220135992,1922.2267175933434,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run4,8295.502101863098,8258.181583864412,8256.181601920094,8255.456677778639,8255.08766723394,8254.900050692124,8254.820514536012,8254.75986329004,8254.710999385836,8254.666759789014,8254.625203780957,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run5,1911.0383518000538,1119.6486369928427,936.5217184211169,804.3666076591143,762.801717147741,740.2394941891815,718.8238929659994,707.9694222386112,699.2670099271759,691.7465177215722,686.9756428521337,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run6,1226.4225188921102,563.8622450995621,476.12685999336856,401.6124058217237,346.56297665432805,307.06266603160833,282.5074242452318,262.92293561505,240.03418257352862,225.94965317439426,220.42303580552735,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run7,9057.846855758462,8276.145746797807,8271.49470304473,8268.274311843767,8265.475032570808,8263.185656940997,8261.37841938186,8259.77185223733,8259.717995617451,8259.671819136413,8259.629156649607,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run8,5446.029948538505,5439.49959201832,5439.491196221751,5439.483375488711,5439.475686349667,5439.469174293265,5439.463457231206,5439.457111738513,5439.453640811944,5439.450503434177,5439.448466684017,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run9,1224.221389558108,958.2225140808852,865.1259911209822,827.9588086607768,796.1042661392187,778.7223421823353,768.3484523989578,762.2541000252853,756.4962884167654,750.4976644768162,746.7453778144293,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run10,5771.095587773484,5770.184431016836,5770.173131521357,5770.16268484849,5770.155475998712,5770.149294880351,5770.143763474663,5770.138897926329,5770.1351331340375,5770.13102245701,5770.127351559482,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run11,2560.338062479698,2057.482890302176,1997.9954426821816,1936.1954362832344,1904.5672364614118,1883.113280503756,1882.833769587781,1882.5433835749034,1882.284580201299,1882.0803463165096,1881.8834850071692,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run12,4741.121625845298,4732.646953823425,4732.4549906341335,4732.453349961535,4732.453318359219,4732.4533179490545,4732.453317943955,4732.453317943948,4732.453317943947,4732.453317943947,4732.453317943946,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run13,8356.138454897045,8248.96923530833,8248.128850668141,8247.870555294487,8247.780171326263,8247.751459977062,8247.734180650972,8247.725968208113,8247.722852258437,8247.72102272008,8247.720281107186,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run14,863.7571524872058,719.6669672056931,701.3721555495222,694.7887596043134,692.0645717715914,688.9409093143555,688.2779504645389,687.726517963671,687.0839111816206,686.7909138232583,686.6659375235005,nan,0,nan,0,nan,0,nan,0,nan,0
